name,lat,lon,a_greenland,a_west_antarctic,a_east_antarctic
Abashiri,44.017,144.283,1.1551,1.1233,1.1870
Abidjan,5.250,-4.000,0.9862,1.0986,1.0837
Aburatsu,31.350,131.250,1.1990,1.1042,1.1899
Acajutla,13.583,-89.833,0.9766,1.1942,1.1094
"Acapulco, Gro.",16.833,-99.917,0.9861,1.2178,1.1120
"Adak, Aleutian Is.",51.867,-176.633,1.0420,1.2480,1.1873
Aden,12.783,44.983,0.9724,1.0172,1.0541
Akyab (Sittwe),20.150,92.900,1.0765,1.0180,1.1061
Alert,82.500,-62.317,-3.3884,1.1347,1.0819
Alexandria,31.217,29.917,0.7904,0.9751,1.0607
Alotau,-10.317,150.450,1.1060,1.1857,1.1228
Ambon,-3.700,128.200,1.1236,1.1880,1.1253
"Ammassalik, Greenland",65.500,-37.000,-5.2531,1.1580,1.0787
Andenes,69.190,16.090,-0.5000,1.0621,1.0988
Antofagasta,-23.390,-70.240,1.1659,0.8948,1.1050
"Apra Hbr, Guam, Marianas",13.433,144.650,1.2287,1.1955,1.2114
Ascension,-7.917,-14.417,1.1542,1.1570,1.1458
"Atlantic City, NJ",39.350,-74.417,0.4822,1.2206,1.0454
Auckland-Waitemata Hbr.,-36.510,174.460,1.0539,0.9797,0.9846
Bahia Esperanza,-63.300,-56.917,1.2843,-0.3566,0.6161
Balboa,8.967,-79.600,0.9918,1.1687,1.1165
"Baltra, Galapagos Is.",-0.433,-90.283,1.1138,1.1514,1.1756
Barentsburg (Spitsbergen),78.067,14.250,-1.1637,1.0952,1.1095
Benoa,-8.733,115.200,1.0979,1.1996,1.0864
"Bermuda, St. Georges Is.",32.367,-64.700,0.6238,1.2630,1.1079
Bluff,-46.600,168.350,1.0302,0.8436,0.7822
Booby Is.,-10.600,141.917,1.0732,1.1616,1.0825
Brest,48.383,-4.500,0.1949,1.0924,1.0929
Brisbane (West Inner Bar),-27.367,153.167,1.0083,1.0935,0.9785
Broome,-18.000,122.217,1.0155,1.1531,0.9846
Buenaventura,3.900,-77.100,1.0026,1.1099,1.0946
Burnett Heads (Bundaberg),-24.767,152.380,1.0139,1.1061,0.9986
Cabo San Antonio,21.900,-84.900,0.8850,1.2407,1.1057
Cabo San Lucas,22.883,-109.900,0.9861,1.2566,1.1165
Callao (La Punta),-12.050,-77.150,1.1140,1.0029,1.1206
Cananeia,-25.017,-47.925,1.1761,0.9237,1.0679
Capitan Prat Base (Antarctica),-62.290,-59.380,1.2890,-0.2887,0.6628
Carnarvon,-24.900,113.650,1.0235,1.1882,0.9333
Cartagena,10.400,-75.550,0.9657,1.1704,1.1085
Cascais,38.417,-9.250,0.4735,1.1093,1.0946
Casey,-66.283,110.533,1.0241,0.6454,-1.3821
Castletownbere,51.650,-9.903,-0.0180,1.1241,1.1066
Cayenne,4.850,-52.283,0.9772,1.1233,1.0999
Ceuta (Spanish N. Africa),35.540,-5.190,0.5486,1.0651,1.0632
Chabahar,25.300,60.600,0.9709,0.9778,1.0874
Chatham Is.,-43.950,-176.550,1.0724,0.8200,0.9227
Chendering/Kuala Terengganu,5.267,103.183,1.1047,1.1163,1.1072
Chichijima,27.083,142.183,1.2454,1.1662,1.2208
