lat,dynamic_topography_m
30.000,0.187
30.125,0.188
30.250,0.190
30.375,0.191
30.500,0.194
30.625,0.198
30.750,0.203
30.875,0.209
31.000,0.213
31.125,0.217
31.250,0.221
31.375,0.224
31.500,0.228
31.625,0.232
31.750,0.238
31.875,0.244
32.000,0.250
32.125,0.255
32.250,0.261
32.375,0.265
32.500,0.269
32.625,0.272
32.750,0.275
32.875,0.277
33.000,0.280
33.125,0.283
33.250,0.286
33.375,0.290
33.500,0.294
33.625,0.296
33.750,0.298
33.875,0.298
34.000,0.297
34.125,0.297
34.250,0.299
34.375,0.304
34.500,0.309
34.625,0.316
34.750,0.323
34.875,0.330
35.000,0.340
35.125,0.350
35.250,0.362
35.375,0.374
35.500,0.386
35.625,0.396
35.750,0.405
35.875,0.416
36.000,0.428
36.125,0.439
36.250,0.444
36.375,0.435
36.500,0.421
36.625,0.398
36.750,0.366
36.875,0.323
37.000,0.268
37.125,0.200
37.250,0.115
37.375,0.014
37.500,-0.098
37.625,-0.213
37.750,-0.323
37.875,-0.421
38.000,-0.502
38.125,-0.564
38.250,-0.607
38.375,-0.632
38.500,-0.640
38.625,-0.638
38.750,-0.631
38.875,-0.619
39.000,-0.604
39.125,-0.597
39.250,-0.592
39.375,-0.589
39.500,-0.587
39.625,-0.583
39.750,-0.580
39.875,-0.574
40.000,-0.564
40.125,-0.550
40.250,-0.536
40.375,-0.523
40.500,-0.513
40.625,-0.503
40.750,-0.494
40.875,-0.488
41.000,-0.484
41.125,-0.481
41.250,-0.480
41.375,-0.481
41.500,-0.486
41.625,-0.495
41.750,-0.495
41.875,-0.495
42.000,-0.509
42.125,-0.519
42.250,-0.525
42.375,-0.528
42.500,-0.527
42.625,-0.524
42.750,-0.520
42.875,-0.516
43.000,-0.514
43.125,-0.513
43.250,-0.514
43.375,-0.511
43.500,-0.506
43.625,-0.499
43.750,-0.490
43.875,-0.490
44.000,-0.490
44.125,-0.489
44.250,-0.488
44.375,-0.487
44.500,-0.487
44.625,-0.486
44.750,-0.486
44.875,-0.485
45.000,-0.485
