distance_km,lat,lon,bed_m,ice_thickness_m
0.0,-74.000,-107.500,-645,0
4.8,-74.041,-107.450,-592,0
9.6,-74.082,-107.400,-626,0
14.5,-74.123,-107.349,-736,0
19.3,-74.164,-107.299,-765,0
24.1,-74.205,-107.249,-770,0
28.9,-74.247,-107.199,-868,0
33.7,-74.288,-107.148,-946,0
38.5,-74.329,-107.098,-859,0
43.3,-74.370,-107.048,-855,0
48.1,-74.411,-106.998,-992,0
52.9,-74.452,-106.947,-1057,0
57.7,-74.493,-106.897,-1055,0
62.5,-74.534,-106.847,-1076,0
67.3,-74.575,-106.797,-1098,0
72.1,-74.616,-106.747,-1173,0
76.8,-74.658,-106.696,-1228,0
81.6,-74.699,-106.646,-1166,0
86.4,-74.740,-106.596,-1013,0
91.2,-74.781,-106.546,-794,0
96.0,-74.822,-106.495,-726,0
100.7,-74.863,-106.445,-745,0
105.5,-74.904,-106.395,-788,0
110.3,-74.945,-106.345,-822,0
115.0,-74.986,-106.295,-923,0
119.8,-75.027,-106.244,-955,11
124.6,-75.068,-106.194,-841,43
129.3,-75.110,-106.144,-674,176
134.1,-75.151,-106.094,-636,346
138.8,-75.192,-106.043,-660,476
143.6,-75.233,-105.993,-644,541
148.3,-75.274,-105.943,-584,591
153.1,-75.315,-105.893,-572,686
157.8,-75.356,-105.842,-649,812
162.6,-75.397,-105.792,-693,915
167.3,-75.438,-105.742,-714,999
172.1,-75.479,-105.692,-733,1109
176.8,-75.521,-105.642,-765,1215
181.5,-75.562,-105.591,-797,1302
186.3,-75.603,-105.541,-815,1372
191.0,-75.644,-105.491,-824,1432
195.7,-75.685,-105.441,-809,1467
200.5,-75.726,-105.390,-774,1478
205.2,-75.767,-105.340,-744,1493
209.9,-75.808,-105.290,-762,1562
214.6,-75.849,-105.240,-857,1702
219.3,-75.890,-105.189,-990,1859
224.1,-75.932,-105.139,-1097,1971
228.8,-75.973,-105.089,-1166,2044
233.5,-76.014,-105.039,-1156,2043
238.2,-76.055,-104.989,-1049,1946
242.9,-76.096,-104.938,-914,1826
247.6,-76.137,-104.888,-825,1756
252.3,-76.178,-104.838,-763,1722
257.0,-76.219,-104.788,-774,1766
261.7,-76.260,-104.737,-845,1871
266.4,-76.301,-104.687,-908,1949
271.1,-76.342,-104.637,-933,1987
275.8,-76.384,-104.587,-900,1968
280.5,-76.425,-104.537,-838,1923
285.2,-76.466,-104.486,-805,1912
289.9,-76.507,-104.436,-818,1953
294.5,-76.548,-104.386,-907,2067
299.2,-76.589,-104.336,-988,2149
303.9,-76.630,-104.285,-1000,2171
308.6,-76.671,-104.235,-1014,2210
313.3,-76.712,-104.185,-1058,2278
317.9,-76.753,-104.135,-1130,2347
322.6,-76.795,-104.084,-1183,2401
327.3,-76.836,-104.034,-1218,2447
332.0,-76.877,-103.984,-1266,2512
336.6,-76.918,-103.934,-1286,2535
341.3,-76.959,-103.884,-1258,2512
346.0,-77.000,-103.833,-1221,2482
350.6,-77.041,-103.783,-1202,2482
355.3,-77.082,-103.733,-1219,2510
359.9,-77.123,-103.683,-1236,2539
364.6,-77.164,-103.632,-1288,2601
369.3,-77.205,-103.582,-1363,2679
373.9,-77.247,-103.532,-1486,2805
378.6,-77.288,-103.482,-1596,2921
383.2,-77.329,-103.432,-1668,2991
387.9,-77.370,-103.381,-1689,3015
392.5,-77.411,-103.331,-1690,3023
397.2,-77.452,-103.281,-1723,3059
401.8,-77.493,-103.231,-1798,3135
406.4,-77.534,-103.180,-1859,3196
411.1,-77.575,-103.130,-1841,3171
415.7,-77.616,-103.080,-1705,3041
420.3,-77.658,-103.030,-1642,2986
425.0,-77.699,-102.979,-1712,3072
429.6,-77.740,-102.929,-1756,3121
434.2,-77.781,-102.879,-1619,2981
438.9,-77.822,-102.829,-1292,2656
443.5,-77.863,-102.779,-1124,2523
448.1,-77.904,-102.728,-1179,2614
452.8,-77.945,-102.678,-1321,2773
457.4,-77.986,-102.628,-1183,2646
462.0,-78.027,-102.578,-987,2479
466.6,-78.068,-102.527,-945,2469
471.2,-78.110,-102.477,-972,2518
475.8,-78.151,-102.427,-954,2526
480.5,-78.192,-102.377,-959,2557
485.1,-78.233,-102.326,-1075,2695
489.7,-78.274,-102.276,-1225,2856
494.3,-78.315,-102.226,-1303,2930
498.9,-78.356,-102.176,-1274,2907
503.5,-78.397,-102.126,-1244,2896
508.1,-78.438,-102.075,-1170,2841
512.7,-78.479,-102.025,-1081,2775
